Designator,Mid X,Mid Y,Rotation,Layer
R20_7,53.5,-85.075,90,top
R20_8,75.5,-41.075,90,top
R20_9,9.5,-63.075,90,top
R21,33.4,-89.775,90,top
R21_10,77.4,-23.775,90,top
R21_11,77.4,-67.775,90,top
R21_12,11.4,-45.775,90,top
R21_13,11.4,-23.775,90,top
R21_14,99.4,-45.775,90,top
R21_15,55.4,-67.775,90,top
R21_16,55.4,-45.775,90,top
R21_17,33.4,-45.775,90,top
R21_18,77.4,-45.775,90,top
R21_19,99.4,-23.775,90,top
R21_2,33.4,-67.775,90,top
R21_20,11.4,-67.775,90,top
R21_3,99.4,-67.775,90,top
R21_4,55.4,-23.775,90,top
R21_5,99.4,-89.775,90,top
R21_6,11.4,-89.775,90,top
R21_7,77.4,-89.775,90,top
R21_8,55.4,-89.775,90,top
R21_9,33.4,-23.775,90,top
R22,99.4,-85.075,90,top
R22_10,11.4,-41.075,90,top
R22_11,77.4,-63.075,90,top
R22_12,11.4,-63.075,90,top
R22_13,77.4,-19.075,90,top
R22_14,99.4,-19.075,90,top
R22_15,55.4,-41.075,90,top
R22_16,55.4,-63.075,90,top
R22_17,33.4,-63.075,90,top
R22_18,11.4,-85.075,90,top
R22_19,33.4,-19.075,90,top
R22_2,33.4,-41.075,90,top
R22_20,55.4,-19.075,90,top
R22_3,99.4,-63.075,90,top
R22_4,77.4,-85.075,90,top
R22_5,33.4,-85.075,90,top
R22_6,77.4,-41.075,90,top
R22_7,11.4,-19.075,90,top
R22_8,99.4,-41.075,90,top
R22_9,55.4,-85.075,90,top
R24,35.4,-63.075,90,top
R24_10,35.4,-85.075,90,top
R24_11,13.4,-19.075,90,top
R24_12,101.4,-85.075,90,top
R24_13,35.4,-41.075,90,top
R24_14,79.4,-19.075,90,top
R24_15,79.4,-85.075,90,top
R24_16,13.4,-41.075,90,top
R24_17,57.4,-41.075,90,top
R24_18,57.4,-85.075,90,top
R24_19,57.4,-63.075,90,top
R24_2,57.4,-19.075,90,top
R24_20,13.4,-63.075,90,top
R24_3,79.4,-41.075,90,top
R24_4,101.4,-19.075,90,top
R24_5,101.4,-63.075,90,top
R24_6,13.4,-85.075,90,top
R24_7,79.4,-63.075,90,top
R24_8,101.4,-41.075,90,top
R24_9,35.4,-19.075,90,top
R3,22.6,-76.2,270,top
R3_10,44.6,-10.2,270,top
R3_11,66.6,-32.2,270,top
R3_12,88.6,-76.2,270,top
R3_13,110.6,-32.2,270,top
R3_14,44.6,-54.2,270,top
R3_15,66.6,-76.2,270,top
R3_16,88.6,-32.2,270,top
R3_17,44.6,-32.2,270,top
R3_18,22.6,-32.2,270,top
R3_19,110.6,-76.2,270,top
R3_2,88.6,-10.2,270,top
R3_20,22.6,-10.2,270,top
R3_3,66.6,-10.2,270,top
R3_4,44.6,-76.2,270,top
R3_5,110.6,-54.2,270,top
R3_6,22.6,-54.2,270,top
R3_7,66.6,-54.2,270,top
R3_8,88.6,-54.2,270,top
R3_9,110.6,-10.2,270,top
R4,22.6,-80.775,270,top
R4_10,110.6,-36.775,270,top
R4_11,44.6,-14.775,270,top
R4_12,22.6,-14.775,270,top
R4_13,44.6,-36.775,270,top
R4_14,110.6,-80.775,270,top
R4_15,66.6,-80.775,270,top
R4_16,88.6,-14.775,270,top
R4_17,88.6,-58.775,270,top
R4_18,66.6,-58.775,270,top
R4_19,88.6,-36.775,270,top
R4_2,44.6,-80.775,270,top
R4_20,110.6,-58.775,270,top
R4_3,22.6,-36.775,270,top
R4_4,22.6,-58.775,270,top
R4_5,88.6,-80.775,270,top
R4_6,44.6,-58.775,270,top
R4_7,66.6,-14.775,270,top
R4_8,110.6,-14.775,270,top
R4_9,66.6,-36.775,270,top
R6,24.7,-58.775,270,top
R6_10,90.7,-14.775,270,top
R6_11,24.7,-14.775,270,top
R6_12,46.7,-14.775,270,top
R6_13,112.7,-80.775,270,top
R6_14,68.7,-80.775,270,top
R6_15,46.7,-58.775,270,top
R6_16,68.7,-36.775,270,top
R6_17,24.7,-80.775,270,top
R6_18,90.7,-80.775,270,top
R6_19,90.7,-36.775,270,top
R6_2,90.7,-58.775,270,top
R6_20,68.7,-14.775,270,top
R6_3,46.7,-36.775,270,top
R6_4,68.7,-58.775,270,top
R6_5,112.7,-14.775,270,top
R6_6,112.7,-58.775,270,top
R6_7,112.7,-36.775,270,top
R6_8,46.7,-80.775,270,top
R6_9,24.7,-36.775,270,top
R8,31.5,-58.775,270,top
R8_10,9.5,-36.775,270,top
R8_11,97.5,-36.775,270,top
R8_12,75.5,-58.775,270,top
R8_13,53.5,-80.775,270,top
R8_14,97.5,-58.775,270,top
R8_15,75.5,-14.775,270,top
R8_16,53.5,-58.775,270,top
R8_17,31.5,-36.775,270,top
R8_18,97.5,-80.775,270,top
R8_19,31.5,-80.775,270,top
R8_2,75.5,-80.775,270,top
R8_20,75.5,-36.775,270,top
R8_3,53.5,-14.775,270,top
R8_4,31.5,-14.775,270,top
R8_5,97.5,-14.775,270,top
R8_6,53.5,-36.775,270,top
R8_7,9.5,-14.775,270,top
R8_8,9.5,-80.775,270,top
R8_9,9.5,-58.775,270,top
R9,77.4,-54.2,270,top
R9_10,33.4,-76.2,270,top
R9_11,99.4,-54.2,270,top
R9_12,11.4,-76.2,270,top
R9_13,33.4,-10.2,270,top
R9_14,11.4,-32.2,270,top
R9_15,55.4,-10.2,270,top
R9_16,55.4,-54.2,270,top
R9_17,55.4,-76.2,270,top
R9_18,33.4,-54.2,270,top
R9_19,99.4,-76.2,270,top
R9_2,99.4,-32.2,270,top
R9_20,11.4,-10.2,270,top
R9_3,55.4,-32.2,270,top
R9_4,99.4,-10.2,270,top
R9_5,77.4,-76.2,270,top
R9_6,77.4,-32.2,270,top
R9_7,11.4,-54.2,270,top
R9_8,33.4,-32.2,270,top
R9_9,77.4,-10.2,270,top
U1,39.1,-10.4,270,top
U1_10,83.1,-76.4,270,top
U1_11,61.1,-76.4,270,top
U1_12,83.1,-32.4,270,top
U1_13,105.1,-76.4,270,top
U1_14,39.1,-54.4,270,top
U1_15,17.1,-76.4,270,top
U1_16,17.1,-32.4,270,top
U1_17,61.1,-32.4,270,top
U1_18,83.1,-10.4,270,top
U1_19,17.1,-10.4,270,top
U1_2,61.1,-10.4,270,top
U1_20,83.1,-54.4,270,top
U1_3,105.1,-10.4,270,top
U1_4,105.1,-54.4,270,top
U1_5,39.1,-32.4,270,top
U1_6,61.1,-54.4,270,top
U1_7,105.1,-32.4,270,top
U1_8,17.1,-54.4,270,top
U1_9,39.1,-76.4,270,top
U2,39.1,-89.6,270,top
U2_10,105.1,-89.6,270,top
U2_11,83.1,-67.6,270,top
U2_12,83.1,-45.6,270,top
U2_13,39.1,-45.6,270,top
U2_14,61.1,-45.6,270,top
U2_15,17.1,-45.6,270,top
U2_16,83.1,-89.6,270,top
U2_17,39.1,-67.6,270,top
U2_18,83.1,-23.6,270,top
U2_19,17.1,-23.6,270,top
U2_2,17.1,-67.6,270,top
U2_20,61.1,-23.6,270,top
U2_3,105.1,-67.6,270,top
U2_4,105.1,-23.6,270,top
U2_5,39.1,-23.6,270,top
U2_6,17.1,-89.6,270,top
U2_7,61.1,-67.6,270,top
U2_8,105.1,-45.6,270,top
U2_9,61.1,-89.6,270,top
